★1+1★
웅진)맑은땅옥수수P500ml - 1,450원
남양)드링킹요구딸기300ml - 1,800원
남양)드링킹요구포도300ml - 1,800원
남양)드링킹요구사과300ml - 1,800원
해피바스)로즈바디워시 - 5,000원
46cm)초극세모칫솔 - 3,500원
메디안치석케어치약 - 4,500원
2080)칫솔 - 2,600원
엘지)샤프란핑크1L - 4,000원
롯데)옥동자 - 1,000원
좋은)순면울날대16입N - 8,900원
일화)탄산수라임P350ml - 1,200원
좋은)순면울날중18입N - 8,900원
뉴페브리즈)은은한향370ml - 7,600원
바디)볼록맞춤울날중4입 - 1,550원
바디)순간흡수울날중4입 - 1,550원
바디)수퍼롱와이드10입 - 7,300원
오가니스트)샴푸200ml - 6,000원
오가니스트)린스200ml - 6,000원
뉴페브리즈)상쾌한향370ml - 7,600원
리스테린)그린티100ml - 1,900원
귀애랑)울날중18입 - 8,200원
롯데)게토레이레몬P600ml - 2,000원
템포)탐폰레귤라10입 - 5,300원
템포)탐폰슈퍼10입 - 5,300원
46cm)쿨민트치약 - 3,500원
화이트)입는오버나이트2입 - 4,000원
코카)씨그램라임P350ml - 1,300원
바디)내몸에순한면대16입 - 7,900원
바디)내몸에순한면중18입 - 7,900원
좋은)참숯롱라이너18입 - 4,000원
오랄비)초미세모칫솔 - 2,900원
엘라스틴)하드왁스80g - 8,900원
엘라스틴)클레이왁스80g - 8,900원
바디)순한면슈퍼롱3입 - 3,500원
좋은)슬날수퍼롱4입N - 3,600원
엘지)순수물티슈70매 - 3,500원
터치3)일회용면도기 - 750원
동원)리챔200g - 5,500원
동아)데미소다자몽P340ml - 1,500원
오가니스트)넛츠바디워시 - 4,900원
듀라셀)울트라2A2입 - 3,350원
듀라셀)울트라3A2입 - 3,350원
화이트)탐폰레귤러8입 - 4,500원
좋은)오가닉슬날중14입 - 7,300원
좋은)오가닉슬날대14입 - 8,400원
농심)웰치스후르트젤리 - 1,600원
오랄비)벨벳잇몸케어 - 4,500원
농심)멘토스초코롤 - 1,000원
농심)멘토스화이트초코롤 - 1,000원
다우니)퍼퓸블랙1L - 9,900원
일신)쥬시드랍츄 - 3,000원
코카)씨그램레몬P350ml - 1,300원
질레트)블루3일회용면도기 - 750원
바디)내몸에순한면중4입 - 2,000원
비트)액체겸용세제1.45L - 9,900원
코카)식후비법W차P500ml - 1,800원
메디안)굿모닝칫솔 - 1,900원
2080)자일리톨치약 - 3,500원
페리오)컬러온칫솔 - 2,900원
동서)티오피트리플에스프 - 2,200원
동서)티오피마일드에스프 - 2,200원
동서)티오피볼드에스프 - 2,200원
프레시팝)모히또샴푸500ML - 15,000원
깨끗한)촉앤감롤티슈24롤 - 26,900원
롯데)허니레몬배P280ml - 1,500원
일리윤)세라마이드로션 - 19,900원
갸스비)스타일링왁스매트 - 7,500원
갸스비)스타일링왁스하드 - 7,500원
리스테린)쿨민트마일드100 - 1,900원
프로글라이드뉴실버면도기 - 17,500원
뉴마하3)면도기1up - 10,900원
롯데)2%아쿠아340ml - 1,400원
해태)평창수프리미엄500ml - 950원
CJ)맥스봉빅소시지150G - 3,000원
롯데)인투더망고바 - 1,800원
먼지몬지)황사마스크10매 - 19,900원
남양)어떻게치즈를마시니  - 1,600원
빙그레)곤약젤리망고패션 - 2,000원
빙그레)곤약젤리피치자두 - 2,000원
매일)네이처밸리아몬드 - 1,200원
매일)네이처밸리오츠베리 - 1,200원

★2+1★
롯데)허쉬쿠키초콜릿 - 1,500원
롯데)가나초코바땅콩 - 1,000원
해태)자유시간초콜릿바 - 1,000원
크라운)키커바 - 1,000원
